RTO Code,City,District
OD16,Sundargarh,Sundargarh
OD17,Bargarh,Bargarh
OD18,Rayagada,Rayagada
OD19,Angul,Angul
OD20,Gajapati (Paralakhemundi),Gajapati
OD21,Jagatsinghpur,Jagatsinghpur
OD22,Bhadrak,Bhadrak
OD23,Jharsuguda,Jharsuguda
OD24,Nabarangpur,Nabarangpur
OD25,Nayagarh,Nayagarh
OD26,Nuapada,Nuapada
OD27,Boudh,Boudh
OD28,Debagarh (Deogarh),Debagarh
OD29,Kendrapara,Kendrapara
OD30,Malkangiri,Malkangiri
OD31,Subarnapur (Sonepur),Subarnapur
OD32,Bhanjanagar,Ganjam
OD33,Bhubaneswar-II,Khordha
OD34,Jajpur,Jajpur
OD35,Talcher,Angul
OD36,Khordha,Khordha
OD37,Rairangpur,Mayurbhanj
OD38,Barbil,Keonjhar
OD39,Titilagarh,Bolangir
OD40,Padampur,Bargarh
CG1,(Governor's Vehicles),Chhattisgarh (State Level)
CG2,(Govt. Vehicles),Chhattisgarh (State Level)
CG3,(Police Vehicles),Chhattisgarh (State Level)
CG4,Raipur,Raipur
CG5,Dhamtari,Dhamtari
CG6,Mahasamund,Mahasamund
CG7,Durg,Durg
CG8,Rajnandgaon,Rajnandgaon
CG9,Kabirdham (Kawardha),Kabirdham
CG10,Bilaspur,Bilaspur
CG11,Janjgir-Champa,Janjgir-Champa
CG12,Korba,Korba
CG13,Raigarh,Raigarh
CG14,Jashpur (Jashpur Nagar),Jashpur
CG15,Ambikapur (Surguja),Surguja
CG16,Koriya (Baikunthpur),Koriya
CG17,Jagdalpur (Bastar),Bastar
CG18,Dantewada,Dantewada
CG19,Kanker,Kanker
CG20,Bijapur,Bijapur
CG21,Narayanpur,Narayanpur
CG22,Baloda Bazar,Baloda Bazar
CG23,Gariaband,Gariaband
CG24,Balod,Balod
CG25,Bemetara,Bemetara
CG26,Sukma,Sukma
CG27,Kondagaon,Kondagaon
CG28,Mungeli,Mungeli
CG29,Surajpur,Surajpur
CG30,Balrampur,Balrampur
CG99,(State Transport Authority),Chhattisgarh (State Level)
MP1,(Governor's Vehicles),Madhya Pradesh (State Level)
MP2,(Government Vehicles),Madhya Pradesh (State Level)
MP3,(Police Vehicles),Madhya Pradesh (State Level)
MP4,Bhopal,Bhopal
MP5,Hoshangabad,Narmadapuram (Hoshangabad)
MP6,Morena,Morena
MP7,Gwalior,Gwalior
MP8,Guna,Guna
MP9,Indore,Indore
MP10,Khargone,Khargone
MP11,Dhar,Dhar
MP12,Khandwa,Khandwa
MP13,Ujjain,Ujjain
MP14,Mandsaur,Mandsaur
MP15,Sagar,Sagar
MP16,Chhatarpur,Chhatarpur
MP17,Rewa,Rewa
MP18,Shahdol,Shahdol
MP19,Satna,Satna
MP20,Jabalpur,Jabalpur
MP21,Katni,Katni
MP22,Seoni,Seoni
MP23,(Previously Raipur - now Chhattisgarh),-
MP24,(Previously Durg - now Chhattisgarh),-
MP25,(Previously Jagdalpur - now Chhattisgarh),-
MP26,(Previously Bilaspur - now Chhattisgarh),-
MP27,(Previously Ambikapur - now Chhattisgarh),-
MP28,Chhindwara,Chhindwara
MP29,(Previously Rajnandgaon - now Chhattisgarh),-
MP30,Bhind,Bhind
MP31,Sheopur,Sheopur
MP32,Datia,Datia
MP33,Shivpuri,Shivpuri
MP34,Damoh,Damoh
MP35,Panna,Panna
MP36,Tikamgarh,Tikamgarh
MP37,Sehore,Sehore
MP38,Raisen,Raisen
MP39,Rajgarh,Rajgarh
MP40,Vidisha,Vidisha
MP41,Dewas,Dewas
MP42,Shajapur,Shajapur
MP43,Ratlam,Ratlam
MP44,Neemuch,Neemuch
MP45,Jhabua,Jhabua
MP46,Barwani,Barwani
MP47,Harda,Harda
MP48,Betul,Betul
MP49,Narsinghpur,Narsinghpur
MP50,Balaghat,Balaghat
MP51,Mandla,Mandla
MP52,Dindori,Dindori
MP53,Sidhi,Sidhi
MP54,Umaria,Umaria
MP55,Bagli,Dewas
MP65,Anuppur,Anuppur
MP66,Singrauli,Singrauli
MP67,Ashoknagar,Ashoknagar
MP68,Burhanpur,Burhanpur
MP69,Alirajpur,Alirajpur
MP70,Agar Malwa,Agar Malwa
MP71,Niwari,Niwari
GJ1,Ahmedabad (Subhash Bridge),Ahmedabad
GJ2,Mehsana,Mehsana
